model,type,accuracy,precision,recall,f1,roc_auc,pr_auc,threshold,predicted_positives,true_positives,false_positives,false_negatives
xgboost,base,0.567,0.2763,0.6325,0.3846,0.6022,0.2774,0.57,380,105,275,61
lightgbm,base,0.5541,0.2783,0.6807,0.3951,0.6053,0.2775,0.52,406,113,293,53
catboost,base,0.4601,0.2609,0.8313,0.3971,0.6137,0.2944,0.33,529,138,391,28
random_forest,base,0.6198,0.2978,0.5723,0.3918,0.6144,0.2842,0.65,319,95,224,71
lightgbm_regressor,base,0.3518,0.2355,0.9036,0.3736,0.6054,0.2771,0.04,637,150,487,16
xgboost_regressor,base,0.2668,0.2182,0.9398,0.3541,0.5251,0.2321,0.01,715,156,559,10
catboost_regressor,base,0.2745,0.2247,0.9759,0.3653,0.5682,0.2449,0.01,721,162,559,4
random_forest_regressor,base,0.5966,0.2894,0.6084,0.3922,0.6203,0.2735,0.43,349,101,248,65
svm_regressor,base,0.2706,0.2222,0.9639,0.3612,0.5037,0.2089,0.03,720,160,560,6
meta_model,ensemble,0.4059,0.247,0.8675,0.3845,0.5882,0.2617,0.43,583,144,439,22
simple_ensemble,ensemble,0.4098,0.25,0.8795,0.3893,0.6068,0.2807,0.38,584,146,438,20
