model,type,accuracy,precision,recall,f1,roc_auc,pr_auc,threshold,predicted_positives,true_positives,false_positives,false_negatives
xgboost,base,0.3548,0.2445,0.9333,0.3875,0.5662,0.2567,0.23,687,168,519,12
lightgbm,base,0.3341,0.2386,0.9333,0.3801,0.6016,0.2947,0.17,704,168,536,12
catboost,base,0.2685,0.2267,0.9722,0.3676,0.5365,0.2406,0.04,772,175,597,5
random_forest,base,0.3499,0.2401,0.9111,0.3801,0.5729,0.2634,0.29,683,164,519,16
lightgbm_regressor,base,0.5917,0.2809,0.5556,0.3731,0.5878,0.2774,0.13,356,100,256,80
xgboost_regressor,base,0.2418,0.2225,0.9889,0.3633,0.537,0.2348,0.01,800,178,622,2
catboost_regressor,base,0.3098,0.232,0.9333,0.3717,0.5557,0.2435,0.02,724,168,556,12
random_forest_regressor,base,0.4605,0.2519,0.7444,0.3764,0.5782,0.2588,0.08,532,134,398,46
svm_regressor,base,0.2649,0.217,0.9056,0.3502,0.5144,0.2262,0.01,751,163,588,17
meta_model,ensemble,0.4228,0.2453,0.7889,0.3742,0.5666,0.2652,0.25,579,142,437,38
simple_ensemble,ensemble,0.4046,0.2451,0.8278,0.3782,0.575,0.2663,0.22,608,149,459,31
