model,type,accuracy,precision,recall,f1,roc_auc,pr_auc,threshold,predicted_positives,true_positives,false_positives,false_negatives
xgboost,base,0.6578,0.3584,0.6041,0.4498,0.674,0.3689,0.44,413,148,265,97
lightgbm,base,0.7098,0.4162,0.6286,0.5008,0.7254,0.4479,0.4,370,154,216,91
catboost,base,0.7495,0.4721,0.6898,0.5605,0.7947,0.5599,0.38,358,169,189,76
random_forest,base,0.7183,0.4301,0.6653,0.5224,0.7459,0.4813,0.44,379,163,216,82
lightgbm_regressor,base,0.8062,0.58,0.5918,0.5859,0.8061,0.5959,0.51,250,145,105,100
xgboost_regressor,base,0.6767,0.3934,0.7306,0.5114,0.7486,0.5056,0.43,455,179,276,66
random_forest_regressor,base,0.7647,0.4948,0.7837,0.6066,0.8242,0.5985,0.39,388,192,196,53
svm_regressor,base,0.4745,0.2737,0.7673,0.4034,0.6101,0.3176,0.23,687,188,499,57
meta_model,ensemble,0.7722,0.5055,0.751,0.6043,0.8242,0.5776,0.35,364,184,180,61
simple_ensemble,ensemble,0.8091,0.5776,0.6531,0.613,0.8219,0.5923,0.46,277,160,117,85
