model,type,accuracy,precision,recall,f1,roc_auc,pr_auc,threshold,predicted_positives,true_positives,false_positives,false_negatives
xgboost,base,0.5345,0.2677,0.6537,0.3799,0.5905,0.2756,0.33,564,151,413,80
lightgbm,base,0.4891,0.263,0.7446,0.3887,0.5949,0.2689,0.28,654,172,482,59
catboost,base,0.5647,0.2822,0.645,0.3926,0.6147,0.292,0.33,528,149,379,82
random_forest,base,0.5118,0.2679,0.7143,0.3896,0.613,0.2982,0.38,616,165,451,66
lightgbm_regressor,base,0.3683,0.2448,0.9091,0.3857,0.6042,0.2824,0.01,858,210,648,21
xgboost_regressor,base,0.4042,0.2519,0.8788,0.3915,0.5799,0.2558,0.01,806,203,603,28
catboost_regressor,base,0.4108,0.2438,0.8095,0.3747,0.5941,0.2698,0.05,767,187,580,44
random_forest_regressor,base,0.6298,0.3199,0.619,0.4218,0.6264,0.2933,0.26,447,143,304,88
svm_regressor,base,0.2483,0.2217,0.974,0.3612,0.5611,0.2712,0.04,1015,225,790,6
meta_model,ensemble,0.5316,0.2781,0.7186,0.401,0.6121,0.2907,0.31,597,166,431,65
simple_ensemble,ensemble,0.5165,0.2766,0.7532,0.4047,0.6241,0.2893,0.26,629,174,455,57
