model,type,accuracy,precision,recall,f1,roc_auc,pr_auc,threshold,predicted_positives,true_positives,false_positives,false_negatives
xgboost,base,0.6723,0.3877,0.7104,0.5016,0.7292,0.4263,0.45,405,157,248,64
lightgbm,base,0.7479,0.4715,0.7104,0.5668,0.7943,0.5362,0.45,333,157,176,64
catboost,base,0.8025,0.5591,0.7059,0.624,0.8344,0.5837,0.43,279,156,123,65
random_forest,base,0.7332,0.4543,0.7421,0.5636,0.7901,0.5438,0.46,361,164,197,57
lightgbm_regressor,base,0.8309,0.6271,0.6697,0.6477,0.8305,0.6493,0.5,236,148,88,73
xgboost_regressor,base,0.7248,0.4399,0.6787,0.5338,0.7573,0.521,0.52,341,150,191,71
random_forest_regressor,base,0.7836,0.5212,0.8326,0.6411,0.8582,0.6614,0.42,353,184,169,37
svm_regressor,base,0.562,0.3123,0.7376,0.4388,0.6574,0.3375,0.38,522,163,359,58
meta_model,ensemble,0.8288,0.6295,0.638,0.6337,0.8479,0.6396,0.53,224,141,83,80
simple_ensemble,ensemble,0.8046,0.557,0.7738,0.6477,0.8547,0.6594,0.43,307,171,136,50
