model,type,accuracy,precision,recall,f1,roc_auc,pr_auc,threshold,predicted_positives,true_positives,false_positives,false_negatives
xgboost,base,0.2472,0.2391,0.9933,0.3855,0.5039,0.2406,0.13,1242,297,945,2
lightgbm,base,0.2417,0.2386,1.0,0.3853,0.5125,0.2386,0.07,1253,299,954,0
catboost,base,0.2393,0.2372,0.9933,0.383,0.5179,0.252,0.01,1252,297,955,2
random_forest,base,0.3092,0.2473,0.9331,0.391,0.5164,0.2511,0.27,1128,279,849,20
lightgbm_regressor,base,0.2496,0.238,0.9799,0.383,0.5143,0.2459,0.01,1231,293,938,6
xgboost_regressor,base,0.2663,0.2378,0.9465,0.3801,0.456,0.2368,0.01,1190,283,907,16
catboost_regressor,base,0.2544,0.24,0.9866,0.3861,0.5074,0.2341,0.01,1229,295,934,4
random_forest_regressor,base,0.2424,0.2384,0.9967,0.3848,0.5234,0.2513,0.01,1250,298,952,1
svm_regressor,base,0.2639,0.2424,0.9866,0.3892,0.4933,0.2556,0.05,1217,295,922,4
meta_model,ensemble,0.314,0.2509,0.9498,0.3969,0.5162,0.2523,0.11,1132,284,848,15
simple_ensemble,ensemble,0.2798,0.2452,0.9766,0.3919,0.5155,0.251,0.1,1191,292,899,7
