model_name,f1_score,roc_auc,pr_auc,optimal_threshold,accuracy,precision,recall
xgboost,0.0,0.9322033898305084,0.1111111111111111,0.08308306708931923,0.9831932773109243,0.0,0.0
lightgbm,0.0,0.8389830508474576,0.05,0.05433801436171035,0.9831932773109243,0.0,0.0
catboost,0.0,0.8135593220338984,0.043478260869565216,0.01984983095173448,0.9831932773109243,0.0,0.0
random_forest,0.0,0.19491525423728812,0.008403361344537815,0.14519999999999988,0.9831932773109243,0.0,0.0
svm,0.0,0.5169491525423728,0.017241379310344827,0.08428135617563418,0.9831932773109243,0.0,0.0
meta_model,0.0,0.7796610169491526,0.037037037037037035,0.5,0.9747899159663865,0.0,0.0
production_ensemble,0.0,0.0,0.0,0.5,0.9831932773109243,0.0,0.0
