model,type,accuracy,precision,recall,f1,roc_auc,pr_auc,threshold,predicted_positives,true_positives,false_positives,false_negatives
xgboost,base,0.6798,0.3626,0.6169,0.4567,0.7054,0.3693,0.45,444,161,283,100
lightgbm,base,0.7099,0.4032,0.6858,0.5078,0.7515,0.4383,0.41,444,179,265,82
catboost,base,0.7901,0.5136,0.7241,0.601,0.8234,0.5761,0.41,368,189,179,72
random_forest,base,0.7517,0.4461,0.5709,0.5008,0.7614,0.453,0.49,334,149,185,112
lightgbm_regressor,base,0.8085,0.5559,0.6092,0.5814,0.8191,0.6102,0.51,286,159,127,102
xgboost_regressor,base,0.6279,0.3397,0.7471,0.4671,0.7281,0.4328,0.42,574,195,379,66
random_forest_regressor,base,0.8253,0.5935,0.6322,0.6122,0.8407,0.6086,0.51,278,165,113,96
svm_regressor,base,0.5744,0.298,0.7011,0.4183,0.6534,0.3464,0.35,614,183,431,78
meta_model,ensemble,0.7751,0.4891,0.6858,0.571,0.8186,0.5844,0.47,366,179,187,82
simple_ensemble,ensemble,0.786,0.5066,0.7318,0.5987,0.8323,0.6026,0.45,377,191,186,70
