ticker,target,price_change_1d,price_change_5d,price_change_10d,price_change_20d,price_vs_sma5,price_vs_sma10,price_vs_sma20,volatility_5d,volatility_10d,volatility_20d,volume_ratio,hl_ratio,hl_ratio_5d,rsi_14,macd,macd_signal,macd_histogram,bb_position
EURKU,0,-0.003795066413662118,-0.003795066413662118,-0.003795066413662118,0.025616698292220352,-0.0030383592859856146,-0.003416856492027165,-0.0036059973429493075,0.0016972052960149665,0.0012001053738779045,0.006700194210778691,10.0,0.0,0.0,0.0,-0.002607374094255377,-0.0005275571385505126,-0.002079816955704864,-0.5621322893124232
EURKU,0,0.029523809523809508,0.025616698292220352,0.025616698292220352,0.025616698292220352,0.021160022671452783,0.02338350847297188,0.024498886414253906,0.013726472721321197,0.009544405200485521,0.006700194210778691,4.97011952191235,0.07308048103607763,0.014616096207215526,88.57142857142881,0.015918724963224662,0.0027923197413847168,0.013126405221839945,1.5508696748981132
EURKU,0,0.0,0.025616698292220352,0.025616698292220352,0.025616698292220352,0.015977443609022535,0.020774315391879128,0.023189777567439673,0.013726472721321197,0.009544405200485521,0.006700194210778691,0.0,0.0,0.014616096207215526,88.57142857142881,0.030072150887464844,0.008288843154882318,0.021783307732582524,1.2269037656437298
EURKU,0,0.0,0.025616698292220352,0.025616698292220352,0.025616698292220352,0.010847204039648561,0.01817839314307257,0.021884010020324363,0.013726472721321197,0.009544405200485521,0.006700194210778691,0.0,0.0,0.014616096207215526,88.57142857142881,0.04069229193130397,0.01480801531026997,0.025884276621034,1.0777549896508019
EURKU,0,0.0,0.025616698292220352,0.025616698292220352,0.025616698292220352,0.0057685150725714784,0.015595640736565164,0.020581570996978993,0.013726472721321197,0.009544405200485521,0.006700194210778691,0.0,0.0,0.014616096207215526,88.57142857142881,0.04846042058577993,0.02157043097042873,0.0268899896153512,0.9858087712893062
EURKU,0,0.0,0.029523809523809508,0.025616698292220352,0.025616698292220352,0.0,0.013025958204479382,0.01928244778652588,0.013203449009998751,0.009544405200485521,0.006700194210778691,0.0,0.0,0.014616096207215526,88.57142857142881,0.05393138683238341,0.02806716611425268,0.02586422071813073,0.9209227955806785
EURKU,0,0.008325624421831712,0.008325624421831712,0.034155597722960174,0.034155597722960174,0.00664942741041763,0.018025590735033292,0.026027203840542246,0.0037233324324696185,0.00965748923602461,0.00687248090688905,3.3465871438038435,9.174311926584123e-06,1.8348623853168247e-06,90.90909090909109,0.06387771034716394,0.035250986726388656,0.028626723620775285,1.0048140812913975
EURKU,0,0.0,0.008325624421831712,0.034155597722960174,0.034155597722960174,0.0049787940254470975,0.014614167364795705,0.024291688201851347,0.0037233324324696185,0.00965748923602461,0.00687248090688905,0.0,0.0,1.8348623853168247e-06,90.90909090909109,0.07088087659853493,0.04239423601782663,0.028486640580708295,0.9350490566149042
EURKU,0,-0.017431192660550376,-0.009250693802035137,0.016129032258064724,0.016129032258064724,-0.010714945501570261,-0.004646840148698983,0.005633802816901401,0.009441665967834193,0.011697993005375407,0.008096145477696916,2.201550387596899,0.0018674136321194744,0.00037531758880921174,63.49206349206366,0.06192942406041446,0.04630884558246644,0.015620578477948024,0.6018389858516925
EURKU,0,0.0,-0.009250693802035137,0.016129032258064724,0.016129032258064724,-0.008883953359244856,-0.0062169434907671794,0.004831824365529869,0.009441665967834193,0.011697993005375407,0.008096145477696916,0.0,0.0,0.00037531758880921174,63.49206349206366,0.05422501033814875,0.047894532264895325,0.006330478073253425,0.5884857451851331
EURKU,0,0.0,-0.009250693802035137,0.020000000000000018,0.016129032258064724,-0.007046170962358489,-0.008149657343952676,0.004031124027374489,0.009441665967834193,0.011562042162290228,0.008096145477696916,0.0,0.0,0.00037531758880921174,63.49206349206366,0.04758111131999776,0.04783177038046613,-0.00025065906046837366,0.5750889685102083
EURKU,0,0.0,-0.017431192660550376,-0.009250693802035137,0.016129032258064724,-0.003535541496092365,-0.007230255839821953,0.0032316987494731553,0.007795466343577212,0.00636720209168857,0.008096145477696916,0.0,0.0,0.0003734827264238949,63.49206349206366,0.04184075059768233,0.0466323786038269,-0.00479162800614457,0.5615003037391932
EURKU,0,0.0,-0.017431192660550376,-0.009250693802035137,0.016129032258064724,0.0,-0.00630914826498441,0.0024335454885811014,0.007795466343577212,0.00636720209168857,0.008096145477696916,0.0,0.0,0.0003734827264238949,63.49206349206366,0.03687153128560006,0.044678661245818055,-0.007807129960217998,0.5475474304143855
EURKU,0,0.0,0.0,-0.009250693802035137,0.016129032258064724,0.0,-0.005386329866270412,0.0016366612111293755,0.0,0.00636720209168857,0.008096145477696916,0.0,0.0,0.0,63.49206349206366,0.032561567691153925,0.042253705536605075,-0.00969213784545115,0.5330185585954547
EURKU,0,0.0,0.0,-0.009250693802035137,0.016129032258064724,0.0,-0.004461795872838792,0.00084104289318776,0.0,0.00636720209168857,0.008096145477696916,0.0,0.0,0.0,67.7966101694916,0.028816137753130633,0.039564828557303484,-0.010748690804172852,0.517638173982809
EURKU,0,0.0,0.0,-0.009250693802035137,0.016129032258064724,0.0,-0.003535541496092365,4.6687520425914286e-05,0.0,0.00636720209168857,0.008096145477696916,0.0,0.0,0.0,32.14285714285717,0.025554916866399324,0.03676170913879837,-0.011206792272399048,0.5010262262682665
EURKU,0,0.0,0.0,-0.017431192660550376,0.016129032258064724,0.0,-0.0017709012955542391,-0.0007464079119238187,0.0,0.005512227114054947,0.008096145477696916,0.0,0.0,0.0,32.14285714285717,0.022709683617259557,0.03395039170982468,-0.011240708092565124,0.4826240749502898
