model,type,accuracy,precision,recall,f1,roc_auc,pr_auc,threshold,predicted_positives,true_positives,false_positives,false_negatives
xgboost,base,0.6394,0.3585,0.6706,0.4672,0.7031,0.4461,0.39,318,114,204,56
lightgbm,base,0.7559,0.487,0.6588,0.56,0.7602,0.5089,0.4,230,112,118,58
catboost,base,0.7601,0.494,0.7294,0.5891,0.7942,0.5527,0.34,251,124,127,46
random_forest,base,0.6755,0.4006,0.7588,0.5244,0.7461,0.4767,0.4,322,129,193,41
lightgbm_regressor,base,0.8086,0.5792,0.6882,0.629,0.7981,0.6117,0.45,202,117,85,53
xgboost_regressor,base,0.7878,0.5535,0.5176,0.535,0.7351,0.5615,0.59,159,88,71,82
random_forest_regressor,base,0.8003,0.5556,0.7647,0.6436,0.8371,0.6149,0.43,234,130,104,40
svm_regressor,base,0.4702,0.2854,0.8294,0.4247,0.604,0.3137,0.18,494,141,353,29
meta_model,ensemble,0.8183,0.598,0.7,0.645,0.836,0.629,0.44,199,119,80,51
simple_ensemble,ensemble,0.8252,0.6158,0.6882,0.65,0.8264,0.6207,0.46,190,117,73,53
