model,type,accuracy,precision,recall,f1,roc_auc,pr_auc,threshold,predicted_positives,true_positives,false_positives,false_negatives
xgboost,base,0.2559,0.2337,0.9779,0.3773,0.5371,0.2497,0.11,1138,266,872,6
lightgbm,base,0.2381,0.2323,1.0,0.377,0.5372,0.266,0.03,1171,272,899,0
catboost,base,0.2525,0.2325,0.9743,0.3754,0.5258,0.2521,0.03,1140,265,875,7
random_forest,base,0.2441,0.2337,1.0,0.3788,0.5156,0.2418,0.07,1164,272,892,0
lightgbm_regressor,base,0.3119,0.2267,0.8235,0.3556,0.5071,0.2377,0.01,988,224,764,48
xgboost_regressor,base,0.2475,0.2312,0.9743,0.3738,0.493,0.2288,0.01,1146,265,881,7
catboost_regressor,base,0.2415,0.2331,1.0,0.378,0.5193,0.2418,0.01,1167,272,895,0
random_forest_regressor,base,0.2441,0.23,0.9706,0.3718,0.5272,0.2409,0.01,1148,264,884,8
svm_regressor,base,0.2441,0.2337,1.0,0.3788,0.541,0.2616,0.03,1164,272,892,0
meta_model,ensemble,0.2602,0.2338,0.9706,0.3769,0.4839,0.22,0.03,1129,264,865,8
simple_ensemble,ensemble,0.2398,0.2322,0.9963,0.3767,0.5024,0.2335,0.02,1167,271,896,1
