model,type,accuracy,precision,recall,f1,roc_auc,pr_auc,threshold,predicted_positives,true_positives,false_positives,false_negatives
xgboost,base,0.2559,0.2337,0.9779,0.3773,0.5371,0.2497,0.11,1138,266,872,6
lightgbm,base,0.2381,0.2323,1.0,0.377,0.5372,0.266,0.03,1171,272,899,0
catboost,base,0.2525,0.2325,0.9743,0.3754,0.5258,0.2521,0.03,1140,265,875,7
random_forest,base,0.2441,0.2337,1.0,0.3788,0.5156,0.2418,0.07,1164,272,892,0
lightgbm_regressor,base,0.3297,0.2283,0.8015,0.3553,0.512,0.2412,0.02,955,218,737,54
xgboost_regressor,base,0.2492,0.2316,0.9743,0.3743,0.4937,0.2284,0.02,1144,265,879,7
catboost_regressor,base,0.2483,0.2319,0.9779,0.3749,0.5129,0.2371,0.01,1147,266,881,6
random_forest_regressor,base,0.2924,0.2342,0.9118,0.3727,0.5233,0.2394,0.05,1059,248,811,24
svm_regressor,base,0.4542,0.2572,0.7243,0.3796,0.5513,0.2631,0.18,766,197,569,75
meta_model,ensemble,0.2602,0.2338,0.9706,0.3769,0.4839,0.22,0.03,1129,264,865,8
simple_ensemble,ensemble,0.2347,0.2315,1.0,0.376,0.5033,0.233,0.01,1175,272,903,0
