model,type,accuracy,precision,recall,f1,roc_auc,pr_auc,threshold,predicted_positives,true_positives,false_positives,false_negatives
xgboost,base,0.5934,0.2646,0.5584,0.3591,0.5809,0.2661,0.47,325,86,239,68
lightgbm,base,0.5894,0.2706,0.5974,0.3725,0.5975,0.2761,0.42,340,92,248,62
catboost,base,0.3232,0.2198,0.9091,0.354,0.5555,0.2348,0.09,637,140,497,14
random_forest,base,0.6305,0.2867,0.5455,0.3758,0.588,0.2666,0.51,293,84,209,70
lightgbm_regressor,base,0.6252,0.2913,0.5844,0.3888,0.5985,0.2602,0.29,309,90,219,64
xgboost_regressor,base,0.3656,0.2134,0.7857,0.3356,0.5446,0.2244,0.03,567,121,446,33
catboost_regressor,base,0.4464,0.2339,0.7532,0.3569,0.5671,0.2298,0.05,496,116,380,38
random_forest_regressor,base,0.6159,0.2778,0.5519,0.3696,0.5968,0.2667,0.21,306,85,221,69
svm_regressor,base,0.6212,0.2829,0.5584,0.3755,0.6187,0.2885,0.3,304,86,218,68
meta_model,ensemble,0.6464,0.2819,0.474,0.3535,0.5854,0.2605,0.58,259,73,186,81
simple_ensemble,ensemble,0.6596,0.3027,0.513,0.3807,0.602,0.2736,0.47,261,79,182,75
