model,type,accuracy,precision,recall,f1,roc_auc,pr_auc,threshold,predicted_positives,true_positives,false_positives,false_negatives
xgboost,base,0.6118,0.296,0.6732,0.4112,0.6731,0.3822,0.36,348,103,245,50
lightgbm,base,0.4947,0.2516,0.7647,0.3786,0.637,0.3143,0.19,465,117,348,36
catboost,base,0.5066,0.2442,0.6928,0.3612,0.6061,0.27,0.25,434,106,328,47
random_forest,base,0.5724,0.2784,0.7059,0.3993,0.6655,0.3357,0.39,388,108,280,45
lightgbm_regressor,base,0.5092,0.2523,0.732,0.3752,0.6267,0.2921,0.02,444,112,332,41
xgboost_regressor,base,0.3105,0.1903,0.7451,0.3032,0.5183,0.2265,0.02,599,114,485,39
catboost_regressor,base,0.3618,0.2205,0.8562,0.3507,0.606,0.2927,0.04,594,131,463,22
random_forest_regressor,base,0.4697,0.2615,0.8954,0.4047,0.6488,0.279,0.05,524,137,387,16
svm_regressor,base,0.2816,0.2165,0.9804,0.3546,0.565,0.2437,0.02,693,150,543,3
meta_model,ensemble,0.3947,0.2394,0.9216,0.3801,0.5983,0.2444,0.1,589,141,448,12
simple_ensemble,ensemble,0.4342,0.2505,0.9085,0.3927,0.6246,0.2812,0.16,555,139,416,14
