model,type,accuracy,precision,recall,f1,roc_auc,pr_auc,threshold,predicted_positives,true_positives,false_positives,false_negatives
xgboost,base,0.5866,0.338,0.8136,0.4776,0.7139,0.4201,0.36,568,192,376,44
lightgbm,base,0.7264,0.4403,0.6568,0.5272,0.7671,0.5192,0.42,352,155,197,81
catboost,base,0.7736,0.5093,0.6992,0.5893,0.8225,0.5881,0.42,324,165,159,71
random_forest,base,0.6988,0.4134,0.7076,0.5219,0.7614,0.5018,0.45,404,167,237,69
lightgbm_regressor,base,0.7874,0.5325,0.6949,0.6029,0.8184,0.6238,0.47,308,164,144,72
xgboost_regressor,base,0.7175,0.4331,0.6992,0.5348,0.7592,0.5195,0.48,381,165,216,71
random_forest_regressor,base,0.7884,0.5333,0.7119,0.6098,0.8348,0.6374,0.46,315,168,147,68
svm_regressor,base,0.5502,0.3118,0.7754,0.4447,0.6651,0.3779,0.28,587,183,404,53
meta_model,ensemble,0.7726,0.5077,0.6949,0.5868,0.8157,0.6283,0.42,323,164,159,72
simple_ensemble,ensemble,0.814,0.6,0.5975,0.5987,0.8266,0.6423,0.51,235,141,94,95
