model,type,accuracy,precision,recall,f1,roc_auc,pr_auc,threshold,predicted_positives,true_positives,false_positives,false_negatives
xgboost,base,0.5711,0.3186,0.878,0.4675,0.7183,0.3404,0.34,565,180,385,25
lightgbm,base,0.7312,0.4207,0.6732,0.5178,0.7686,0.402,0.42,328,138,190,67
catboost,base,0.7709,0.476,0.678,0.5594,0.811,0.5007,0.43,292,139,153,66
random_forest,base,0.6119,0.3434,0.8878,0.4952,0.7546,0.4024,0.39,530,182,348,23
lightgbm_regressor,base,0.7939,0.5157,0.639,0.5708,0.8314,0.5537,0.48,254,131,123,74
xgboost_regressor,base,0.7144,0.3957,0.6293,0.4859,0.7402,0.4347,0.49,326,129,197,76
random_forest_regressor,base,0.795,0.5165,0.6878,0.59,0.8377,0.5461,0.47,273,141,132,64
svm_regressor,base,0.5377,0.2793,0.7317,0.4043,0.6357,0.2917,0.3,537,150,387,55
meta_model,ensemble,0.7594,0.4611,0.722,0.5627,0.8251,0.559,0.38,321,148,173,57
simple_ensemble,ensemble,0.7552,0.4594,0.8,0.5836,0.8303,0.5363,0.39,357,164,193,41
