model,type,accuracy,precision,recall,f1,roc_auc,pr_auc,threshold,predicted_positives,true_positives,false_positives,false_negatives
xgboost,base,0.4024,0.2516,0.841,0.3873,0.5345,0.2373,0.24,946,238,708,45
lightgbm,base,0.3833,0.248,0.8587,0.3848,0.5377,0.2452,0.16,980,243,737,40
catboost,base,0.3325,0.2397,0.9081,0.3793,0.508,0.2216,0.13,1072,257,815,26
random_forest,base,0.2937,0.2363,0.9611,0.3794,0.5325,0.2301,0.25,1151,272,879,11
lightgbm_regressor,base,0.404,0.2347,0.7314,0.3554,0.5142,0.2296,0.03,882,207,675,76
xgboost_regressor,base,0.3317,0.2294,0.8375,0.3602,0.5129,0.2282,0.01,1033,237,796,46
catboost_regressor,base,0.3119,0.2326,0.8975,0.3695,0.5233,0.2315,0.01,1092,254,838,29
random_forest_regressor,base,0.2881,0.2376,0.9823,0.3827,0.5388,0.238,0.02,1170,278,892,5
svm_regressor,base,0.2611,0.2259,0.9435,0.3645,0.5115,0.2226,0.07,1182,267,915,16
meta_model,ensemble,0.3032,0.2356,0.9364,0.3764,0.5297,0.2491,0.04,1125,265,860,18
simple_ensemble,ensemble,0.3206,0.2417,0.947,0.3851,0.5337,0.24,0.1,1109,268,841,15
