model_name,f1_score,roc_auc,pr_auc,optimal_threshold,accuracy,precision,recall
xgboost,0.0,0.2542372881355932,0.022222222222222223,0.4640000000000001,0.9666666666666667,0.0,0.0
lightgbm,0.0,0.6271186440677966,0.043478260869565216,0.606,0.9666666666666667,0.0,0.0
catboost,0.0,0.22033898305084743,0.02127659574468085,0.44000000000000006,0.9666666666666667,0.0,0.0
random_forest,0.0,0.2542372881355932,0.016666666666666666,0.34400000000000003,0.9666666666666667,0.0,0.0
svm,0.0,0.6440677966101694,0.045454545454545456,0.33000000000000007,0.9666666666666667,0.0,0.0
meta_model,0.0,0.35593220338983056,0.02564102564102564,0.5,0.9666666666666667,0.0,0.0
production_ensemble,0.0,0.0,0.0,0.5,0.95,0.0,0.0
