model,type,accuracy,precision,recall,f1,roc_auc,pr_auc,threshold,predicted_positives,true_positives,false_positives,false_negatives
xgboost,base,0.2486,0.2358,0.9922,0.3811,0.4933,0.2286,0.12,1077,254,823,2
lightgbm,base,0.2659,0.2381,0.9766,0.3828,0.4948,0.2275,0.1,1050,250,800,6
catboost,base,0.2732,0.2409,0.9844,0.3871,0.5351,0.2533,0.04,1046,252,794,4
random_forest,base,0.2842,0.2387,0.9453,0.3811,0.505,0.2454,0.24,1014,242,772,14
lightgbm_regressor,base,0.326,0.2287,0.7969,0.3554,0.4826,0.231,0.01,892,204,688,52
xgboost_regressor,base,0.4244,0.2211,0.582,0.3204,0.4855,0.2272,0.03,674,149,525,107
catboost_regressor,base,0.2404,0.2309,0.9688,0.3729,0.4652,0.2212,0.01,1074,248,826,8
random_forest_regressor,base,0.3115,0.2283,0.8203,0.3571,0.4705,0.2323,0.02,920,210,710,46
svm_regressor,base,0.2659,0.2205,0.8477,0.35,0.4746,0.247,0.01,984,217,767,39
meta_model,ensemble,0.3588,0.25,0.875,0.3889,0.5213,0.2434,0.14,896,224,672,32
simple_ensemble,ensemble,0.2741,0.2402,0.9766,0.3855,0.512,0.2378,0.1,1041,250,791,6
